更新时间,#genre#
2026/05/12 18:34,http://127.0.0.1

央视频道,#genre#
CCTV-3,http://112.109.206.238:9999/rtp/239.255.40.195:8208
CCTV-4,http://223.167.230.73:4022/rtp/239.45.0.2:5140
CCTV-4,http://114.254.35.180:8888/rtp/239.3.1.105:8092
CCTV-4,http://114.254.36.134:8888/rtp/239.3.1.105:8092
CCTV-4,http://114.254.84.173:8888/rtp/239.3.1.105:8092
CCTV-4,http://171.8.168.12:8800/rtp/239.16.20.4:10040
CCTV-4,http://171.8.84.114:8800/rtp/239.16.20.4:10040
CCTV-4,http://112.192.72.187:8484/rtp/239.0.0.13:5140
CCTV-4,http://220.167.170.155:4000/rtp/239.120.1.159:9012
CCTV-4,http://115.171.216.26:4000/rtp/225.1.8.4:8092
CCTV-4,http://115.171.216.46:4000/rtp/225.1.8.4:8092
CCTV-4,http://112.19.88.97:8899/rtp/239.11.0.109:5140
CCTV-4,http://183.220.20.17:4321/rtp/239.11.0.109:5140
CCTV-4,http://106.59.2.72:55555/udp/239.200.200.128:8652
CCTV-4,http://219.156.112.83:4022/rtp/225.1.5.30:1333
CCTV-4,http://220.172.21.89:4022/rtp/238.255.2.92:5999
CCTV-4,http://220.172.23.183:4022/rtp/238.255.2.92:5999
CCTV-4,http://61.159.134.150:8188/rtp/238.255.2.92:5999
CCTV-4,http://121.29.215.217:2083/rtp/239.253.92.251:6141
CCTV-4,http://60.4.28.155:8077/rtp/239.253.92.251:6141
CCTV-4,http://111.196.132.71:20000/rtp/239.3.1.105:8092
CCTV-4,http://123.118.53.151:8686/rtp/239.3.1.105:8092
CCTV-4,http://123.118.53.173:8686/rtp/239.3.1.105:8092
CCTV-4,http://221.220.133.100:8012/rtp/239.3.1.105:8092
CCTV-4,http://112.109.206.238:9999/rtp/239.255.40.198:8208
CCTV-5,http://223.167.230.73:4022/rtp/239.45.1.69:5140
CCTV-5,http://114.254.35.180:8888/rtp/239.3.1.173:8001
CCTV-5,http://114.254.36.134:8888/rtp/239.3.1.173:8001
CCTV-5,http://114.254.84.173:8888/rtp/239.3.1.173:8001
CCTV-5,http://171.8.168.12:8800/rtp/239.16.20.53:10530
CCTV-5,http://171.8.84.114:8800/rtp/239.16.20.53:10530
CCTV-5,http://112.192.72.187:8484/rtp/239.0.0.14:5140
CCTV-5,http://220.167.170.155:4000/rtp/239.120.1.46:8248
CCTV-5,http://115.171.216.26:4000/rtp/225.1.8.89:8000
CCTV-5,http://115.171.216.46:4000/rtp/225.1.8.89:8000
CCTV-5,http://112.19.88.97:8899/rtp/239.11.0.100:5140
CCTV-5,http://183.220.20.17:4321/rtp/239.11.0.100:5140
CCTV-5,http://106.59.2.72:55555/udp/239.200.200.20:9016
CCTV-5,http://219.156.112.83:4022/rtp/225.1.4.159:1195
CCTV-5,http://220.172.21.89:4022/rtp/238.255.2.134:5999
CCTV-5,http://220.172.23.183:4022/rtp/238.255.2.134:5999
CCTV-5,http://61.159.134.150:8188/rtp/238.255.2.134:5999
CCTV-5,http://121.29.215.217:2083/rtp/239.253.92.181:6046
CCTV-5,http://60.4.28.155:8077/rtp/239.253.92.181:6046
CCTV-5,http://111.196.132.71:20000/rtp/239.3.1.173:8001
CCTV-5,http://123.118.53.151:8686/rtp/239.3.1.173:8001
CCTV-5,http://123.118.53.173:8686/rtp/239.3.1.173:8001
CCTV-5,http://221.220.133.100:8012/rtp/239.3.1.173:8001
CCTV-5,http://112.109.206.238:9999/rtp/239.255.40.196:8208
CCTV-5+,http://114.254.35.180:8888/rtp/239.3.1.130:8004
CCTV-5+,http://114.254.36.134:8888/rtp/239.3.1.130:8004
CCTV-5+,http://114.254.84.173:8888/rtp/239.3.1.130:8004
CCTV-5+,http://171.8.168.12:8800/rtp/239.16.20.5:10050
CCTV-5+,http://171.8.84.114:8800/rtp/239.16.20.5:10050
CCTV-5+,http://112.192.72.187:8484/rtp/239.0.0.22:5140
CCTV-5+,http://220.167.170.155:4000/rtp/239.120.1.245:9428
CCTV-5+,http://115.171.216.26:4000/rtp/225.1.8.20:8004
CCTV-5+,http://115.171.216.46:4000/rtp/225.1.8.20:8004
CCTV-5+,http://112.19.88.97:8899/rtp/239.11.0.241:5140
CCTV-5+,http://183.220.20.17:4321/rtp/239.11.0.241:5140
CCTV-5+,http://106.59.2.72:55555/rtp/239.200.200.9:8004
CCTV-5+,http://219.156.112.83:4022/rtp/225.1.4.75:1104
CCTV-5+,http://220.172.21.89:4022/rtp/238.255.2.185:5999
CCTV-5+,http://220.172.23.183:4022/rtp/238.255.2.185:5999
CCTV-5+,http://61.159.134.150:8188/rtp/238.255.2.185:5999
CCTV-5+,http://121.29.215.217:2083/rtp/239.253.92.82:8013
CCTV-5+,http://60.4.28.155:8077/rtp/239.253.92.82:8013
CCTV-5+,http://111.196.132.71:20000/rtp/239.3.1.130:8004
CCTV-5+,http://123.118.53.151:8686/rtp/239.3.1.130:8004
CCTV-5+,http://123.118.53.173:8686/rtp/239.3.1.130:8004
CCTV-5+,http://221.220.133.100:8012/rtp/239.3.1.130:8004
CCTV-5+,http://112.109.206.238:9999/rtp/239.255.40.34:8208
CCTV-6,http://223.167.230.73:4022/rtp/239.45.1.70:5140
CCTV-6,http://114.254.35.180:8888/rtp/239.3.1.174:8001
CCTV-6,http://114.254.36.134:8888/rtp/239.3.1.174:8001
CCTV-6,http://114.254.84.173:8888/rtp/239.3.1.174:8001
CCTV-6,http://171.8.168.12:8800/rtp/239.16.20.6:10060
CCTV-6,http://171.8.84.114:8800/rtp/239.16.20.6:10060
CCTV-6,http://112.192.72.187:8484/rtp/239.0.0.15:5140
CCTV-6,http://220.167.170.155:4000/rtp/239.120.1.49:8252
CCTV-6,http://115.171.216.26:4000/rtp/225.1.8.84:8000
CCTV-6,http://115.171.216.46:4000/rtp/225.1.8.84:8000
CCTV-6,http://112.19.88.97:8899/rtp/239.11.0.102:5140
CCTV-6,http://183.220.20.17:4321/rtp/239.11.0.102:5140
CCTV-6,http://106.59.2.72:55555/rtp/239.200.200.21:9020
CCTV-6,http://219.156.112.83:4022/rtp/225.1.4.160:1196
CCTV-6,http://220.172.21.89:4022/rtp/238.255.2.135:5999
CCTV-6,http://220.172.23.183:4022/rtp/238.255.2.135:5999
CCTV-6,http://61.159.134.150:8188/rtp/238.255.2.135:5999
CCTV-6,http://121.29.215.217:2083/rtp/239.253.92.193:6058
CCTV-6,http://60.4.28.155:8077/rtp/239.253.92.193:6058
CCTV-6,http://111.196.132.71:20000/rtp/239.3.1.174:8001
CCTV-6,http://123.118.53.151:8686/rtp/239.3.1.174:8001
CCTV-6,http://123.118.53.173:8686/rtp/239.3.1.174:8001
CCTV-6,http://221.220.133.100:8012/rtp/239.3.1.174:8001
